"Site","Line","TotalLine","WinOrLose","Fun","ScoreOff","FirstDownOff","ThirdDownPctOff","RushAttOff","RushYdsOff","PassAttOff","PassCompOff","PassYdsOff","PassIntOff","FumblesOff","SackNumOff","SackYdsOff","PenYdsOff","TimePossOff","PuntAvgOff","ScoreDef","FirstDownDef","ThirdDownPctDef","RushAttDef","RushYdsDef","PassAttDef","PassCompDef","PassYdsDef","PassIntDef","FumblesDef","SackNumDef","SackYdsDef","PenYdsDef","TimePossDef"
"V",-5,40,"WIN","BORING",14.625,16.1875,26.8125,21.6875,82.9375,36.75,20.25,205.25,1.1875,0.5,3.375,22.4375,60,26.881875,47.88125,27.875,22.625,41.0625,34,140.8125,33.875,21.375,233.5625,0.75,0.625,1.1875,7.875,49.5625,32.770625
"H",3,46,"LOSE","BORING",13.4375,17.5625,29.5,30.9375,147.6875,29.75,17.0625,165.1875,1.125,1,2.375,13.0625,45.5,29.818125,46.1,24.1875,18.25,38.125,30.125,134.875,29.625,17.1875,209.25,0.5625,0.375,2,12.75,43,29.8525
"V",-3,44,"LOSE","FUN",18.8125,18.1875,38.625,27.8125,107.875,31.625,18.5625,203.625,0.6875,0.75,2.3125,13.75,45.1875,28.760625,50.84375,18.5625,20.0625,32.6875,25.5625,106.125,38.875,22.4375,247.75,0.8125,0.375,2.875,17.1875,66.6875,30.864375
"V",-6.5,42,"WIN","OKAY",23.5625,18.875,35.625,30,163.0625,30.25,18.625,169.8125,0.9375,0.6875,2,11.5,52.1875,28.3625,45.275,22.4375,22,38.5625,26.625,106,38.5,24.75,251.125,0.6875,0.75,2.6875,16.9375,63.25,31.2375
"V",4,48.5,"LOSE","FUN",28.25,21.625,44.25,24.3125,101.4375,40.875,26.5625,313.25,1.125,0.25,1.625,12.0625,53.8125,29.33125,49.15,26.9375,23.5625,37.8125,26.6875,143.5,38.375,23.5,290.5625,1,0.75,2,13.125,45.4375,30.30125
"H",-4,55.5,"WIN","OKAY",27.6875,20.75,42,25.25,114.375,34.3125,20.5625,254.125,1.125,0.5,1.25,8.625,37.3125,28.766875,46.96875,22.25,20.0625,41.3125,27.875,125.625,34.625,22.1875,251.375,1.3125,0.875,2.0625,14.5625,53.375,30.833125
"H",5,40,"LOSE","BORING",18.3125,18.75,34.875,24.3125,96.625,38.25,22.6875,250.5625,1.125,0.5625,1.5625,12.6875,59.6875,29.4425,47.48125,27.625,19.1875,39.25,28.125,124.5,32.25,21.3125,231,0.6875,0.5,1.75,13.1875,54.875,30.1825
"H",7.5,54,"WIN","FUN",18.5,20.875,37,27,124.1875,36.6875,22.0625,229.0625,0.6875,1.4375,3.0625,18.5,48,29.201875,45.20625,28.4375,20.625,42,29.6875,124.75,31.1875,19.375,229.1875,0.375,0.375,1.9375,13.25,64.75,30.398125
"V",-7.5,54,"LOSE","FUN",22.25,18.25,37.25,25.6875,94.3125,32.75,20.5,203.3125,1,0.6875,3.125,19.875,48.3125,30.476875,47.56875,22.9375,20.125,40.9375,25.875,101.0625,35.4375,21.8125,233.375,0.9375,0.8125,2.3125,15,52.25,29.1325
"V",-2.5,44.5,"WIN","BORING",25.0625,20.1875,36.25,30.875,149.6875,28.0625,18.5,219.4375,0.5,0.5,2.4375,15.0625,61.1875,30.990625,47.975,17.4375,17.9375,32.4375,25.75,95.3125,35,20.5,202.875,0.875,0.75,2.3125,16.0625,45.3125,28.669375
"H",2.5,44.5,"LOSE","BORING",25.5,19.375,40.125,33.0625,158.375,25.25,16.625,199.5,0.5625,0.5,2,13.0625,56.1875,31.1875,45.6375,14.5,18.3125,37.625,23.375,108.75,34.4375,20.1875,197.4375,1.0625,0.875,2.25,15.5,52.875,28.49625
"V",-5.5,47.5,"WIN","FUN",18.9375,18.25,32,25.4375,106.4375,35.625,21.375,229.75,0.9375,0.5625,2,13,60.75,28.70125,46.0625,21.5625,20.1875,36.875,28.125,117.6875,33.6875,22.25,222.5,0.9375,0.3125,3.4375,21.1875,49.9375,30.95875
"H",-4,48.5,"WIN","BORING",24.375,18.4375,35.375,25.3125,110.75,35.8125,19.375,252.5,1.125,0.4375,1.6875,11,55.375,29.3625,44.8875,25.125,21,40.3125,24.5,87.9375,39.5625,25.6875,292.125,1.0625,0.5625,1.875,14.375,51.9375,30.288125
"V",-9,43,"WIN","BORING",20.8125,16.25,37.375,25.25,111.1875,32.3125,18.75,198.5,0.9375,0.6875,2.375,15.875,54.8125,27.41125,47.15625,27.875,21.6875,38.0625,28.9375,119.0625,35.375,23.25,243.6875,1.25,0.375,2.6875,16.3125,46.5,32.273125
"V",-8,50,"WIN","OKAY",26.4375,21.5,35.5625,30.8125,164.375,29.0625,18.875,213.6875,0.625,0.4375,2.1875,16,58.3125,30.131875,42.875,24.3125,21.3125,45.3125,25.125,110.1875,38.0625,24,272.8125,1.1875,0.6875,2.0625,13.6875,48.0625,29.468125
"H",6.5,41,"LOSE","FUN",24.9375,18.0625,35.9375,26.4375,104.9375,33.5,21.1875,228.875,1.0625,0.625,2.6875,12.875,56.25,30.029375,46.19375,18.75,18.625,35,26.75,104.625,35.0625,21.5,208.375,0.9375,1,3,21.25,49.25,29.570625
"V",-6.5,41,"WIN","OKAY",20.375,18.875,39,25.0625,93.375,35.4375,22.0625,233.8125,0.875,1.0625,2.3125,13.5625,58.3125,31.355625,43.1125,18.6875,16.9375,33.75,25.375,91.75,32.3125,18.1875,177.5,0.625,0.5625,2.25,11.9375,55.8125,28.244375
"V",-3.5,51,"LOSE","OKAY",13.4375,17.1875,29.1875,30.9375,145.5,29.375,16.9375,160.625,1.0625,0.875,2.3125,12.75,46.25,29.67625,46.05,23,18.5625,37.1875,28.875,124.625,31.0625,18.4375,215.6875,0.5625,0.5,2.1875,13.8125,41.5625,29.994375
"H",3.5,51,"WIN","BORING",18.875,20.625,36.875,25.6875,121.6875,37,22.0625,233.125,0.5625,1.3125,3,18,49.1875,28.27875,45.55,29.0625,21.625,44.375,30.3125,125.6875,31.5,20.25,241.625,0.3125,0.4375,1.875,12.5,63.9375,31.32125
"V",-7.5,49.5,"WIN","BORING",16.1875,16.3125,25.25,21.875,76.8125,39.0625,21.9375,201.25,1.375,0.6875,3.8125,25,51.5,29.2825,46.34375,23.1875,17.5625,32.25,30.5625,131.4375,30.6875,17.1875,209.3125,1.3125,0.75,2,12.5,51.25,30.3175
"V",-2.5,46,"WIN","OKAY",25,21,43.4375,22.3125,85.625,39.3125,27.0625,290.3125,0.9375,0.3125,1.9375,14.625,25.1875,30.314375,48.025,18.8125,18.375,38.5,24.875,115.5,35.6875,21.875,257,1.0625,0.5625,1.5625,9.875,39.375,29.285625
"H",-1,44.5,"LOSE","BORING",23.25,19.625,37.875,28.5625,114.0625,36.3125,21.5625,234.3125,0.75,0.3125,2.4375,16.1875,70.375,28.603125,48.1,22.625,19.8125,35.6875,29.125,114.8125,35.4375,21.1875,233.6875,0.625,0.6875,2.4375,16.5,57.75,31.021875
"V",-2.5,41,"WIN","BORING",20.375,19.0625,36.875,27.9375,131.625,32.875,20.375,208.3125,0.9375,1.1875,1.9375,10.625,57.3125,29.275625,43.1375,26,22.125,42.625,29.8125,146.75,34.8125,19.625,211.9375,0.75,0.5625,2.4375,14.25,43.25,30.324375
"H",-3,47,"LOSE","BORING",21.375,20.6875,42.5625,29.125,132.375,31.125,17.75,215.625,0.6875,0.6875,2.4375,17.1875,50.75,30.1875,43.2875,22.25,20.1875,35.1875,25.75,105.4375,34.625,23.5,231.5,0.625,0.875,2.4375,18.8125,50.4375,29.4375
"V",2.5,41,"LOSE","BORING",23.6875,18.4375,36.8125,29.25,123.25,30.9375,19,195.9375,0.875,0.625,2.25,14.75,49.5,31.33625,41.56875,17.75,17.625,38.125,24.9375,102.75,36.0625,21.625,213.6875,1.4375,1.25,2.1875,15.4375,46.25,28.26375
"H",-3,50.5,"LOSE","BORING",24.0625,18.125,36.4375,27,107.875,34.375,21.25,227.9375,1,0.625,2.3125,11.4375,58.125,30.205,46.48125,17.6875,18.1875,33.625,26.3125,99.25,35.0625,21.125,203.6875,1,1,3,21.5,44.625,29.395
"V",-7,40.5,"LOSE","FUN",17.1875,17.375,28.625,24,92.25,36.5,21.125,215.8125,1.0625,0.4375,2.6875,18.5625,59.8125,28.145625,41.58125,22.125,21.0625,38.5625,28.8125,111.6875,36.5,23.1875,235.875,0.8125,0.75,2.25,14.375,60.125,31.479375
"H",3.5,47,"LOSE","BORING",24.8125,21.5625,40.375,22,74.8125,42.5,28.4375,294.8125,1.125,0.6875,2.375,17.375,49.1875,30.99875,44.3875,25.25,20.125,40.9375,26.25,118.9375,33.5625,20.75,249.4375,0.625,0.6875,2.25,13.3125,47.1875,28.60125
"V",1,49.5,"LOSE","FUN",23.8125,23.9375,40.25,25.0625,100.5625,46.1875,27.875,312.3125,0.875,1.125,1.6875,12,64.9375,31.43,41.81875,27.25,19.25,34.375,25.875,116,34.75,21.875,230.0625,0.9375,0.375,1.9375,12.625,47.125,28.21875
"V",3,50.5,"WIN","BORING",28.375,22,42.25,27.125,109.5625,35,23.5,269.875,0.4375,0.5625,3.0625,18,54.75,29.88625,42.46875,21.875,19.6875,37.875,25.875,113.375,37.125,20.9375,246.5625,0.9375,0.3125,2.4375,15.6875,67.9375,29.71375
"V",1,44.5,"WIN","BORING",26.25,21.5625,36.6875,30.0625,132.25,36.3125,23,249.375,1,0.25,1.875,14.9375,55.4375,32.08625,47.0375,22.875,18.4375,34.1875,25.625,100.9375,36.4375,19.375,229.75,0.8125,0.75,2.75,15.8125,52.4375,27.51375
"V",-10,47,"LOSE","BORING",22.125,22.625,43.125,27.9375,111.5,38.625,21.1875,256.4375,1,0.4375,2.6875,14.8125,48.4375,30.625625,46.71875,22.9375,20.0625,38.625,26.8125,141.4375,33,20.5,233.75,0.8125,0.1875,2,12.1875,69.125,28.985
"V",-20,39.5,"WIN","BORING",14.75,16.5625,29.375,22,81,37.8125,21.25,215.375,1.1875,0.4375,3.5,22.625,59.9375,27.560625,47.3375,27.375,21.875,39.9375,33.0625,141.5,33.1875,20.6875,228.5,0.75,0.6875,1.375,8.625,47.4375,32.039375
"H",2.5,46,"LOSE","BORING",18.125,18,38,26.8125,97.75,31.875,18.875,210.375,0.6875,0.8125,2.5625,14.4375,43.875,28.44,50.35,19,20.375,35.125,26.3125,113,38.5625,22.5,244.125,0.8125,0.375,3.0625,17.5625,64.875,31.185
"H",7,40.5,"WIN","BORING",24.1875,18.875,35.4375,30.4375,164.8125,29.9375,17.9375,169.5,1,0.75,1.8125,10.6875,47.1875,28.310625,45.81875,22.9375,22.4375,39.4375,26.4375,108.5,39,25.25,256.9375,0.8125,0.875,2.5625,15.25,62.25,31.289375
"H",7.5,45,"LOSE","BORING",33.8125,26.875,48.1875,32.4375,134,40.9375,24.9375,286.75,0.5625,0.5625,1.5625,11.0625,51.625,30.563125,44.48125,20.5625,21.0625,40.0625,27,110.625,36.625,22.375,267.3125,1.375,1.3125,2.375,14.375,62.75,29.061875
"H",7.5,49.5,"LOSE","BORING",27.5625,21.25,43.125,23.875,95.9375,40.6875,26.25,311.5625,1.125,0.25,1.8125,13.5625,54.5625,29.464375,48.80625,25.625,23,37.0625,26.25,139.8125,38.5,23.1875,282.6875,1.0625,0.75,1.9375,13,50.6875,30.168125
"V",3,47,"WIN","BORING",26.5625,20.5625,40.1875,24.875,109.9375,34.1875,20.375,244.3125,1.1875,0.5,1.3125,9.1875,35,28.66,47.3875,22.6875,20.625,43.375,28.3125,127.5,35.5625,23.125,256.3125,1.1875,0.9375,1.9375,13.625,59.5625,30.94
"H",2.5,41,"LOSE","FUN",15.6875,18.6875,34.125,31.0625,119.1875,32.0625,17.625,181.1875,1.375,1.1875,3.375,21.5625,45.125,30.509375,46.15625,21.875,17.0625,33.1875,30.625,124.75,31.3125,16.125,183.6875,0.5625,0.75,1.9375,12,49.75,29.15125
"H",-2.5,41,"WIN","OKAY",19.3125,18.4375,37.25,24.3125,91.9375,35.8125,21.8125,231.875,0.9375,1.125,2.25,14,53.4375,30.6,43.46875,19.3125,17.3125,34.25,26.125,94.0625,33.4375,19.125,186.9375,0.625,0.5,2.125,11.375,57.125,29
"V",-3,43.5,"WIN","BORING",21.9375,18.625,37.75,25.1875,92.9375,33.6875,21.25,212.375,0.9375,0.8125,2.9375,19.25,47.75,30.275625,46.9875,24.1875,20.9375,43.0625,26.5,104.25,35.875,22.3125,248.875,0.875,0.8125,2.375,15.375,53.375,29.33375
"H",10,47,"WIN","BORING",23.5625,19.4375,35.5625,30.4375,146.6875,27.875,18.0625,213.5625,0.6875,0.5625,2.4375,14.75,64.875,30.605,48.76875,18.0625,18.1875,31.875,27.0625,100.9375,34.1875,19.8125,196.875,0.875,0.75,2.4375,16.5625,46.375,29.055
"H",20,39.5,"LOSE","BORING",25.625,19.3125,39.8125,33.4375,157.75,25.1875,16.1875,198.5625,0.625,0.5,2.125,13.4375,59.25,31.315,44.93125,14.25,18,35.8125,23.625,111.9375,33.6875,19.5625,188.6875,1.1875,0.9375,2.375,16.5,57.5,28.36875
"V",-3.5,47,"WIN","BORING",18.5,18.3125,30.9375,24.9375,101.375,36.875,21.75,232.9375,0.9375,0.4375,1.8125,12.4375,60.3125,28.588125,45.775,21.75,20.25,38.3125,27.3125,108.9375,34.5625,23.0625,232.5,0.875,0.3125,3.5,21.6875,47.25,31.071875
